statefip,Mean_Index,year_anes,state_anes,Join_year,Trump_2015,value,Explicit_value,hate_crimes_per_100000,Value,state
12,0.27839778206135807,2008,florida,2008,0,0.39576408919125605,4.036997817067353,0.01251025058657437,0.6866721218391885,Florida
12,0.29067638233073506,2012,florida,2012,0,0.3584133597192688,4.053099463590135,0.01061383749344462,0.6597035795434485,Florida
12,-0.029125545282722556,2016,florida,2016,1,0.2936190749143067,3.9217624992436924,0,0.2644935296315842,Florida
12,-0.3538159233888117,2020,florida,2020,1,0.23894399231569846,3.754317659978037,0,-0.11487193107311322,Florida
13,0.22779383739628167,1994,georgia,1994,0,NA,NA,0.04639637069029912,0.2741902080865808,Georgia
13,0.6438865356689856,1998,georgia,1998,0,NA,NA,0.01546545689676637,0.6593519925657519,Georgia
13,0.08373411009816213,2000,georgia,2000,0,NA,NA,0.02443139889181617,0.1081655089899783,Georgia
13,-0.020415323934431625,2002,georgia,2002,0,NA,NA,0,-0.020415323934431625,Georgia
13,-0.44712194481160317,2004,georgia,2004,0,0.3723885978756265,NA,0,-0.07473334693597666,Georgia
13,0.137632833907249,2008,georgia,2008,0,0.39405218959144783,4.036433314260622,0,0.5316850234986968,Georgia
13,0.3652205357360797,2012,georgia,2012,0,0.33334710702757986,3.9375,0.02059183614005208,0.7191594789037117,Georgia
13,-0.02761463410905391,2016,georgia,2016,1,0.2891537466864872,3.826651330923431,0.02059183614005208,0.28213094871748534,Georgia
13,-0.33960088069651806,2020,georgia,2020,1,0.2594830411202754,3.7649548470836867,0,-0.08011783957624263,Georgia
15,0.10616051340506016,2012,hawaii,2012,0,0.14257520863782902,3.2226230899830224,0,0.24873572204288918,Hawaii
15,0.059668234689977756,2016,hawaii,2016,1,0.09315630739108471,3.273317352019178,0,0.15282454208106247,Hawaii
15,-0.43110219039832376,2020,hawaii,2020,1,0.011870514769924002,3.1543935643564356,0,-0.41923167562839975,Hawaii
16,0.287504741901063,2000,idaho,2000,0,NA,NA,0.0772787971709778,0.3647835390720408,Idaho
16,-0.15551068878715854,2002,idaho,2002,0,NA,NA,0.2318363915129334,0.07632570272577485,Idaho
16,-0.003550136816394933,2012,idaho,2012,0,0.4110390904467446,4.16905737704918,0.12727099175920328,0.534759945389553,Idaho
16,-0.1157354070104664,2016,idaho,2016,1,0.29996099500051027,4.074190177638453,0,0.18422558799004385,Idaho
16,-0.4740225996391075,2020,idaho,2020,1,0.300319238963091,3.9697989342416085,0,-0.1737033606760165,Idaho
17,0.49711492465380475,1994,illinois,1994,0,NA,NA,0.07899035580415867,0.5761052804579634,Illinois
17,-0.018065109448021886,1998,illinois,1998,0,NA,NA,0.16675741780877945,0.14869230836075756,Illinois
17,0.07981952527740493,2000,illinois,2000,0,NA,NA,0.10469357398896206,0.184513099266367,Illinois
17,0.08569151873040463,2002,illinois,2002,0,NA,NA,0.08858687029835252,0.17427838902875714,Illinois
17,0.10515207953614668,2004,illinois,2004,0,0.3085330579327548,NA,0.05637346291713342,0.4700586003860349,Illinois
